"ID","Label","address","State","zipcode","cat1","cat2","cat3","url","Notes","lon","lat","formatted_address","lng"
"1","Central Electric Power Cooperative","20 Cooperative Way, Columbia, SC 29210, USA, Central Electric Power Cooperative, SC, 29210","SC","29210","Second Tier","CBN","G&T","","","-81.1153",34.0418704,"20 Cooperative Way, Columbia, SC 29210, USA",-81.11465559999999
"2","New Horizon Electric Cooperative","1776 SC-14, Laurens, SC 29360, USA, New Horizon Electric Cooperative, SC, 29360","SC","29360","Second Tier","CBN","G&ffT","","Five of Central's Members are also Members of New Horizon Electric Cooperative (NHEC). NHEC maintains a portion of Central's transmission lines. Central paid NHEC $1,590,760 and $2,138,796 in 2017 and 2016, respectively. In 2017, NHEC paid Central $48,000 for management services.","-82.051",34.5309567,"1776 SC-14, Laurens, SC 29360, USA",-82.0510034
"3","Alliance for Cooperatives Energy","1331 Sunday Dr, Raleigh, NC 27607, USA, Alliance for Cooperatives Energy, NC, 27607","NC","27607","Second Tier","CBN","Marketing","","In 2017 Central became a member of the Alliance for Cooperatives Energy Services Power Marketing, LLC (ACES). ACES is a nationwide energy management company. At the end of five years, Central can exit the organization and receive a refund equal to its pro rata share of ACES equity. Central is committed to purchase a minimum level of services from ACES starting at $195,000 annually and increasing 2% annually for a period of five years. Any services above these minimums will be paid at ACES actual cost. Central paid ACES $245,715 in 2017.","-78.7296",35.7972394,"1331 Sunday Dr, Raleigh, NC 27607, USA",-78.7296203
"4","Cooperative Electric Energy Utility Supply","101 Enterprise Pkwy, West Columbia, SC 29170, USA, Cooperative Electric Energy Utility Supply, SC, 29171","SC","29171","Second Tier","CBN","Construction","","Central is a member of the Cooperative Electric Energy Utility Supply, Inc. (CEE-US).CEE-US is organized to provide member cooperatives with the ability to purchase utility construction and repair materials and supplies on a combined basis. Central purchased $3,612,141 and $2,505,960 in CEE-US' fiscal years ending September 30, 2017 and 2016, respectively. Central's patronage capital in CEE-US represents approximately 2.5% of total CEE-US patronage capital.","-81.1452",33.957913,"101 Enterprise Pkwy, West Columbia, SC 29170, USA",-81.145242
"5","KW Savings Co.","808 Knox Abbott Dr, West Columbia, SC 29033, USA, KW Savings Co., SC, 29033","SC","29033","Second Tier","CBN","Finance","","Central and its Members created KW Savings Co. (KWS) to facilitate on-billing financing of energy efficiency home improvements for Members. Central received a $740,000 Rural Economic Development Loan & Grant (REDLG) loan from the United States Department of Agriculture (USDA), which was loaned to KWS for low interest loans on energy efficiency projects for distribution member households. KWS returns this money to Central at approximately the same time the loans are repaid by the distribution members. As of December 31, 2017 and 2016, $339,167 and $431,667 was outstanding, respectively. In 2017 and 2016, Central provided KWS with $29,877 and $3,823, respectively, to cover program administrative costs. In 2017, KWS paid Central $5,000 for accounting services.","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"6","The Electric Cooperatives of South Carolina, Inc.","808 Knox Abbott Dr, Cayce, SC 29033, USA, The Electric Cooperatives of South Carolina, Inc., SC, 29033","SC","29033","Second Tier","CBN","Statewide","","","-81.0624",33.9824191,"808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06239950000001
"7","Aiken Electric Cooperative","2790 Wagener Rd, Aiken, SC 29801, USA, Aiken Electric Cooperative, SC, 29802","SC","29802","First Tier","Distribution","Distribution","","","-81.6548",33.548752,"2790 Wagener Rd, Aiken, SC 29801, USA",-81.654842
"8","Berkeley Electric Cooperative","551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA, Berkeley Electric Cooperative, SC, 29461","SC","29461","First Tier","Distribution","Distribution","","","-79.9836",33.2025327,"551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA",-79.98363909999999
"9","Black River Electric Cooperative","1121 N Pike W, Sumter, SC 29153, USA, Black River Electric Cooperative, SC, 29151","SC","29151","First Tier","Distribution","Distribution","","","-80.3743",33.957741,"1121 N Pike W, Sumter, SC 29153, USA",-80.374324
"10","Blue Ridge Electric Cooperative","734 W Main St, Pickens, SC 29671, USA, Blue Ridge Electric Cooperative, SC, 29671","SC","29671","First Tier","Distribution","Distribution","","","-82.7191",34.881529,"734 W Main St, Pickens, SC 29671, USA",-82.7190509
"11","Broad River Electric Cooperative","811 Hamrick Street, Gaffney, SC 29340, USA, Broad River Electric Cooperative, SC, 29342","SC","29342","First Tier","Distribution","Distribution","","","-81.6869",35.0509872,"811 Hamrick Street, Gaffney, SC 29340, USA",-81.6869011
"12","Edisto Electric Cooperative","896 Calhoun St, Bamberg, SC 29003, USA, Edisto Electric Cooperative, SC, 29003","SC","29003","First Tier","Distribution","Distribution","","","-81.0428",33.285526,"896 Calhoun St, Bamberg, SC 29003, USA",-81.04281499999999
"13","Laurens Electric Cooperative","2254 SC-14, Laurens, SC 29360, USA, Laurens Electric Cooperative, SC, 29360","SC","29360","First Tier","Distribution","Distribution","","","-82.0562",34.5356313,"2254 SC-14, Laurens, SC 29360, USA",-82.0562315
"14","Marlboro Electric Cooperative","676 SC-9, Bennettsville, SC 29512, USA, Marlboro Electric Cooperative, SC, 29512","SC","29512","First Tier","Distribution","Distribution","","","-79.6417",34.5963403,"676 SC-9, Bennettsville, SC 29512, USA",-79.6416642
"15","Palmetto Electric Cooperative","4360, 4063 Grays Hwy, Ridgeland, SC 29936, USA, Palmetto Electric Cooperative, SC, 29936","SC","29936","First Tier","Distribution","Distribution","","","-81.0102",32.5264552,"4063 Grays Hwy, Ridgeland, SC 29936, USA",-81.0103405
"16","Tri-County Electric Cooperative","6473 Old State Rd, St Matthews, SC 29135, USA, Tri-County Electric Cooperative, SC, 29135","SC","29135","First Tier","Distribution","Distribution","","","-80.7747",33.6307995,"6473 Old State Rd, St Matthews, SC 29135, USA",-80.7746692
"17","Fairfield Electric Cooperative","701 Blythewood Rd, Blythewood, SC 29016, USA, Fairfield Electric Cooperative, SC, 29016","SC","29016","First Tier","Distribution","Distribution","","","-81.002",34.2094166,"701 Blythewood Rd, Blythewood, SC 29016, USA",-81.0019557
"18","Little River Electric Cooperative","300 Cambridge St, Abbeville, SC 29620, USA, Little River Electric Cooperative, SC, 29620","SC","29620","First Tier","Distribution","Distribution","","","-82.3734",34.1831263,"300 Cambridge St, Abbeville, SC 29620, USA",-82.37335589999999
"19","Mid-Carolina Electric Cooperative","254 Longs Pond Rd, Lexington, SC 29072, USA, Mid-Carolina Electric Cooperative, SC, 29071","SC","29071","First Tier","Distribution","Distribution","","","-81.2924",33.9300491,"254 Longs Pond Rd, Lexington, SC 29072, USA",-81.2924438
"20","Pee Dee Electric Cooperative","1355 E McIver Rd, Darlington, SC 29540, USA, Pee Dee Electric Cooperative, SC, 29540","SC","29540","First Tier","Distribution","Distribution","","","-79.7891",34.2570325,"1355 E McIver Rd, Darlington, SC 29540, USA",-79.7890912
"21","York Electric Cooperative","1385 Alexander Love Hwy, York, SC 29745, USA, York Electric Cooperative, SC, 29745","SC","29745","First Tier","Distribution","Distribution","","","-81.2058",34.9888504,"1385 Alexander Love Hwy, York, SC 29745, USA",-81.2058071
"22","Coastal Electric Cooperative","2269 Jefferies Hwy, Walterboro, SC 29488, USA, Coastal Electric Cooperative, SC, 29488","SC","29488","First Tier","Distribution","Distribution","","","-80.6608",32.9332399,"2269 Jefferies Hwy, Walterboro, SC 29488, USA",-80.6607976
"23","Horry Electric Cooperative","2774 Cultra Rd, Conway, SC 29526, USA, Horry Electric Cooperative, SC, 29528","SC","29528","First Tier","Distribution","Distribution","","","-79.0796",33.8725427,"2774 Cultra Rd, Conway, SC 29526, USA",-79.0796323
"24","Lynches River Electric Cooperative","707 S Arant St, Pageland, SC 29728, USA, Lynches River Electric Cooperative, SC, 29728","SC","29728","First Tier","Distribution","Distribution","","","-80.402",34.7602201,"707 S Arant St, Pageland, SC 29728, USA",-80.40200449999999
"25","Newberry Electric Cooperative","882 Wilson Rd, Newberry, SC 29108, USA, Newberry Electric Cooperative, SC, 29108","SC","29108","First Tier","Distribution","Distribution","","","-81.5926",34.2781157,"882 Wilson Rd, Newberry, SC 29108, USA",-81.5926173
"26","Santee Electric Cooperative","424 Sumter Hwy, Kingstree, SC 29556, USA, Santee Electric Cooperative, SC, 29556","SC","29556","First Tier","Distribution","Distribution","","","-79.8528",33.6885138,"424 Sumter Hwy, Kingstree, SC 29556, USA",-79.85277409999999
"27","Touchstone Energy","4301 Wilson Blvd, Arlington, VA 22203, USA, Touchstone Energy, VA, 22203","VA","22203","Second Tier","CBN","Support","","Touchstone provides support to its members in various ways. Among other things, support has included training in strategy development and execution best practices. Several Touchstone members have subsequently been recognized by the Palladium Balanced Scorecard Hall of Fame for Executing Strategy™ for their success in developing winning strategies and executing on them; these members include Blue Ridge Electric Membership Corp, Powder River Energy Corporation, Ozarks Electric Cooperative, and Roanoke Electric Cooperative","-77.113",38.880529,"4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999
"28","National Rural Utilities Cooperative Finance Corporation","20701 Cooperative Way, Sterling, VA 20166, USA, National Rural Utilities Cooperative Finance Corporation, VA, 20166","VA","20166","Second Tier","CBN","Support","","Created and owned by America's electric coop network","-77.4268",39.0415808,"20701 Cooperative Way, Sterling, VA 20166, USA",-77.4267655
"29","Federated Rural Electric Insurance Exchange","7725 Renner Rd, Shawnee, KS 66217, USA, Federated Rural Electric Insurance Exchange, KS, 66285","KS","66285","No Tier","Other","Insurance","","","-94.7791",38.9876327,"7725 Renner Rd, Shawnee, KS 66217, USA",-94.7790594
"30","National Rural Electric Cooperative Association","4301 Wilson Blvd, Arlington, VA 22203, USA, National Rural Electric Cooperative Association, VA, 22203","VA","22203","Fourth Tier","Association","National","","","-77.1129",38.8805352,"4301 Wilson Blvd, Arlington, VA 22203, USA",-77.1126749
"31","Office of Regulatory Staff","1401 Main St #900, Columbia, SC 29201, USA, Office of Regulatory Staff, SC, 29201","SC","29201","No Tier","Other","State Regulation","https://regulatorystaff.sc.gov/","The Office of Regulatory Staff (ORS) represents the public interest of South Carolina in utility regulation for the major utility industries -- electric, natural gas, telecommunications, transportation, and water/wastewater -- before the Public Service Commission of South Carolina, the court system, the South Carolina General Assembly, and federal regulatory bodies. The ORS also has responsibility for oversight of railroad safety and natural gas pipeline safety in South Carolina.

The public interest, as defined by the South Carolina General Assembly, is as follows:

The concerns of the using and consuming public with respect to public utility services, regardless of the class of customer, and preservation of continued investment in and maintenance of utility facilities so as to provide reliable and high-quality utility services.","-81.0352",34.0040058,"1401 Main St #900, Columbia, SC 29201, USA",-81.0352106
"32","Rural Utilities Service (RUS)","1400 Independence Ave SW, Washington, DC 20250, USA, Rural Utilities Service (RUS), DC, 20250","DC","20250","No Tier","Other","Federal Support","","","-77.032",38.8875228,"1400 Independence Ave SW, Washington, DC 20250, USA",-77.0319753
"33","South Carolina Power Team","1201 Main St #250, Columbia, SC 29201, USA, South Carolina Power Team, SC, 29201","SC","29201","No Tier","Program","Economic Development","","","-81.0348",34.0012716,"1201 Main St Suite 1710, Columbia, SC 29201, USA",-81.03483659999999
"34","South Carolina Public Service Commission","101 Executive Center Dr # 100, Columbia, SC 29210, USA, South Carolina Public Service Commission, SC, 29210","SC","29210","No Tier","Other","State Regulation","https://psc.sc.gov/","To Serve The Public Of South Carolina By Providing Open And Effective Regulation And Adjudication Of The State’s Public Utilities, Through Consistent Administration Of The Law And Regulatory Process","-81.1215",34.0331507,"101 Executive Center Dr # 100, Columbia, SC 29210, USA",-81.1214719
"35","enLIGHTenSC","808 Knox Abbott Dr, Cayce, SC 29033, USA, enLIGHTenSC, SC, 29033","SC","29033","No Tier","Program","Education","https://www.enlightensc.org/about/","EnlightenSC is an energy education program developed by educators for the consumer-owned electric cooperatives in South Carolina. The co-ops created EnlightenSC as a way to help teachers better access energy-related information and activities for their classrooms, resources designed to get young people excited about science, technology, engineering and mathematics: the STEM subjects. This website is a clearinghouse of lessons and activities, compiled from resources across the country, and correlated to S.C. science education standards for each grade level. The program has expanded to include a summer graduate courses for educators at no charge. EnlightenSC also sponsors the SC 4H Engineering Challenge – a competition for S.C. students.","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"36","Washington Youth Tour and Cooperative Youth Summit","Richmond Hwy, Virginia 22202, USA, Washington Youth Tour and Cooperative Youth Summit, VA, 22202","VA","22202","No Tier","Program","Education","https://www.electric.coop/our-organization/youth-programs/about-the-youth-tour/","Youth Development The Electric Cooperative Youth Tour has brought high school students to Washington, D.C. for a week in June every year since the late 1950s. Students apply and are selected for this program by their local electric cooperative. We believe that students should see their nation’s capital up close, learn about the political process and interact with their elected official","-77.1352",38.8615414,"Richmond Hwy, Arlington, VA 22202, USA",-77.0518278
"37","South Carolina Living","808 Knox Abbott Dr, Cayce, SC 29033, USA, South Carolina Living, SC, 29210","SC","29210","No Tier","Program","Arts and Entertainment","http://scliving.coop/","","-81.0624",33.9825755,"808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999
"38","Touchstone Energy's Co-op Connections","4301 Wilson Blvd, Arlington, VA 22203, USA, Touchstone Energy's Co-op Connections, VA, 22203","VA","22203","No Tier","Program","Discount Club","https://www.connections.coop/aboutus.aspx","Free membership program that provides discounts on food, health services. Touchstone Energy® Cooperatives’ Co-op Connections® Program helps you save more and live 
healthier every day! Our highly successful prescription discount offer is now joined by discounts on dental, vision,
hearing, lab work & imaging and chiropractor visits. Best of all, you get all these great benefits for FREE!","-77.113",38.880529,"4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999
"39","South Carolina 811","7316, 810 Dutch Square Blvd, Columbia, SC 29210, USA, South Carolina 811, SC, 29210","SC","29210","No Tier","Program","Safety","https://sc811.com/","Before you dig center for the state for underground utility lines.","-81.0945",34.034118,"7316, 810 Dutch Square Blvd, Columbia, SC 29210, United States",-81.094522
"40","CoBank","1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, USA, CoBank, CO, 80111","CO","80111","Second Tier","CBN","Finance","http://www.cobank.com/","","-104.891",39.6034143,"1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, United States",-104.891414
"41","No Barriers","224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA, No Barriers, CO, 80521","CO","80521","No Tier","Program","Education","https://www.cobank.com/citizenship/no-barriers","Disabled Veteran Eduation Program The CoBank/No Barriers program for rural veterans provides an opportunity for veterans with disabilities to challenge their own limitations, both real and perceived, physical and mental. Through successfully completing demanding activities like rafting, rock climbing and hiking, participants become better-equipped to overcome the obstacles they face in their daily lives. By sharing the experience with other veterans with disabilities, they also build a network of support that can last a lifetime.","-105.081",40.5852901,"224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA",-105.0808557
"42","Help My House","I-20, Columbia, SC 29210, USA, Help My House, SC, 29210","SC","29210","No Tier","Program","Community","https://www.epa.gov/sites/production/files/2017-06/documents/help_my_house_profile_6-1-16_508.pdf","Low cost loans for energy efficiency improvements up to 35% reduction in bills : A model
program for on-bill financing of
“whole-building” energy efficiency
upgrades, first piloted by eight
electric co-ops in predominantly
low-income rural areas of South
Carolina.","-81.1109",34.0368117,"I-20, Columbia, SC 29210, USA",-81.1108706
"43","Energy Smart SC","808 Knox Abbott Dr, Cayce, SC 29033, USA, Energy Smart SC, SC, 29033","SC","29033","No Tier","Program","Education","https://energysmartsc.org/","Beat the Peak","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"44","SC Green Power","1 Riverwood Dr, Moncks Corner, SC 29461, USA, SC Green Power, SC, 29461","SC","29461","No Tier","Program","Solar Partnership","http://www.scgreenpower.com/About-Us/index.aspx","Green Power is electricity generated by renewable resources like decomposing garbage in selected landfills, solar and wind. These resources are replenished naturally and  minimize harm to the environment.

 

Santee Cooper launched the Green Power Program in response to increased customer interest in renewable energy and concern for the environment. By taking this initial step to meet and encourage the growing demand for renewable energy, we can help reduce the reliance on limited resources while improving and preserving the environment for future generations.","-79.9777",33.199811,"1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.977701
"45","U.S. Department of Energy","1000 Independence Ave SW, Washington, DC 20585, USA, U.S. Department of Energy, DC, 20585","DC","20585","No Tier","Other","Federal Support","","","-77.026",38.8869743,"1000 Independence Ave SW, Washington, DC 20585, USA",-77.0259726
"46","North Eastern Strategic Alliance","121 S Evander Dr, Florence, SC 29506, USA, North Eastern Strategic Alliance, SC, 29502","SC","29502","No Tier","Program","Economic Development","","NESA is a regional, non-profit, economic development organization that serves nine counties in the northeastern corner of South Carolina. Our primary objective is to create jobs for the residents of the region by working within the existing industry base and recruiting new companies. We assist these companies by providing research assistance, infrastructure support, workforce training opportunities, regional site selection assistance and we work with our county partners and the state to help coordinate incentive packages.","-79.6584",34.1953997,"121 S Evander Dr, Florence, SC 29506, USA",-79.65837619999999
"47","South Carolina Chamber of Commerce","1301 Gervais St #1100, Columbia, SC 29201, USA, South Carolina Chamber of Commerce, SC, 29201","SC","29201","No Tier","Other","Business Advocacy","https://www.scchamber.net/","state","-81.0316",34.002201,"1301 Gervais St #1100, Columbia, SC 29201, USA",-81.031601
"48","South Carolina Department of Commerce","1201 Main St # 1600, Columbia, SC 29201, USA, South Carolina Department of Commerce, SC, 29201","SC","29201","No Tier","Other","State Support","","state","-81.0347",34.0013716,"1201 Main St # 1600, Columbia, SC 29201, USA",-81.03467479999999
"49","South Carolina Association of Heating & A/C Contractors","PO Box 80265, Charleston, South Carolina, 29416 USA, South Carolina Association of Heating & A/C Contractors, SC, 29416","SC","29416","No Tier","Association","State","https://scheatingandair.org/","","-81.1637",32.7764749,"Charleston, SC, USA",-79.93105120000001
"50","Hilton Head Island Sea Turtle Protection Project","Hilton Head Island, SC, 29925 USA, Hilton Head Island Sea Turtle Protection Project, SC, 29925","SC","29925","No Tier","Program","Environment","https://www.coastaldiscovery.org","","-80.7526",32.21636,"Hilton Head Island, SC 29925, USA",-80.73991
"51","Discovery Channel School","1 Discovery Pl, Silver Spring, MD 20910, USA, Discovery Channel School, MD, 20910","MD","20910","No Tier","Program","Education","https://www.palmetto.coop/get-charged/","Youth Education","-77.0276",38.9951157,"8403 Colesville Rd, Silver Spring, MD 20910, USA",-77.0288813
"52","Santee Cooper","1 Riverwood Dr, Moncks Corner, SC 29461, USA, Santee Cooper, SC, 29461","SC","29461","No Tier","Other","Hydro Partnership","","","-79.9806",33.199181,"1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.9805852
"53","Congaree National Park","100 National Park Rd, Hopkins, SC 29061, USA, Congaree National Park, SC, 29061","SC","29061","No Tier","Other","Green Power Partner","","Green Power Partner","-80.8234",33.8296195,"100 National Park Rd, Hopkins, SC 29061, USA",-80.8233754
"54","Starbucks Coffee","2401 Utah Ave S 8th floor, Seattle, WA 98134, USA, Starbucks Coffee, WA, 98134","WA","98134","No Tier","Other","Green Power Partner","","Green Power Partner","-122.335",47.58075789999999,"2401 Utah Ave S 8th floor, Seattle, WA 98134, USA",-122.3353638
"55","Operation Round-Up","808 Knox Abbott Dr, West Columbia, SC 29033, USA, Operation Round-Up, SC, 29210","SC","29210","No Tier","Program","Community","https://www.palmetto.coop/operation-round-up/","One of the most successful community service efforts in which we’re involved has been the Operation Round Up program. Founded by Palmetto Electric in 1989, Operation Round Up has been an incredibly successful way in which we have been able to help the less fortunate in our community. Through Operation Round Up, Palmetto Electric automatically rounds up a participating member’s electric bills to the next highest dollar. For example, a consumer’s monthly bill of $52.73 would be automatically rounded up to $53.00, with the additional 27 cents going to the Operation Round Up fund. On an annual basis, we are able to donate roughly six dollars for each participating customer – and that pool of money is then allocated to a variety of worthy causes throughout our service area.","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"56","Palmetto Economic Development Coorporation","1201 Main St #250, Columbia, SC 29201, USA, Palmetto Economic Development Coorporation, SC, 29201","SC","29201","No Tier","Other","Economic Development","","","-81.0348",34.0012716,"1201 Main St #250, Columbia, SC 29201, USA",-81.03483659999999
"57","WIRE (Women Involved in Rural Electrification)","808 Knox Abbott Dr, West Columbia, SC 29033, USA, WIRE (Women Involved in Rural Electrification), SC, 29210","SC","29210","No Tier","Program","Community","http://www.ecsc.org/wire","","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"58","Alliance Park Anderson County","411 Alliance Pkwy, Anderson, SC 29621, USA, Alliance Park Anderson County, SC, 29621","SC","29621","No Tier","Other","Economic Development","","Industrial park power site","-82.5997",34.6288825,"411 Alliance Pkwy, Anderson, SC 29621, USA",-82.5997008
